                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3005,                 2.4141,                 1.2186,                0.96648,                0.27139,                0.67775,                0.47645,                 1.0296,                 2.2778,                 1.0173,               0.070517,              0.0032759,              0.0032759
                      1,                 1.2012,                 1.2465,                 1.1662,                0.81755,                0.69516,                0.80273,                0.56405,                 1.0324,                 1.4254,                  1.043,               0.040452,              0.0065438,              0.0065438
                      2,                 1.2536,                  1.179,                 1.1942,                0.78778,                0.77545,                0.82883,                0.56741,                 1.0235,                 1.0283,                   1.04,                0.01032,              0.0097457,              0.0097457
                      3,                 1.2602,                 1.1198,                 1.2095,                0.77147,                0.79203,                0.80422,                0.53484,                   1.06,                 1.0208,                 1.0961,               0.009703,               0.009703,               0.009703
                      4,                 1.2236,                 1.0782,                 1.1972,                0.69133,                0.80025,                0.75578,                 0.4957,                 1.0565,                 1.2381,                 1.0989,               0.009703,               0.009703,               0.009703
                      5,                 1.2308,                 1.0483,                 1.2131,                0.76525,                0.82952,                 0.8144,                0.54454,                 1.0427,                0.95195,                 1.0634,               0.009604,               0.009604,               0.009604
                      6,                 1.2013,                 1.0053,                 1.1854,                0.72421,                0.77968,                0.79578,                0.53941,                 1.0373,                0.94942,                 1.0621,               0.009505,               0.009505,               0.009505
                      7,                 1.2128,                0.96412,                 1.1954,                0.76207,                0.75897,                0.79502,                0.53741,                 1.0241,                 0.9304,                 1.0629,               0.009406,               0.009406,               0.009406
                      8,                 1.1764,                0.93142,                 1.1791,                 0.7733,                0.77128,                0.82108,                0.55559,                 1.0252,                0.87075,                 1.0654,               0.009307,               0.009307,               0.009307
                      9,                 1.1813,                0.91304,                 1.1825,                0.77848,                0.78421,                 0.8345,                0.56824,                  1.036,                0.82542,                 1.0631,               0.009208,               0.009208,               0.009208
                     10,                 1.1615,                0.90609,                 1.1697,                0.76836,                0.85379,                0.85115,                 0.5947,                0.96852,                0.87724,                 1.0428,               0.009109,               0.009109,               0.009109
                     11,                 1.1651,                0.87847,                  1.164,                0.72058,                0.83013,                0.84362,                 0.5975,                0.97163,                0.79424,                 1.0444,                0.00901,                0.00901,                0.00901
                     12,                 1.1633,                0.86172,                 1.1748,                0.79385,                0.81726,                0.85106,                0.60128,                0.99804,                0.74104,                 1.0552,               0.008911,               0.008911,               0.008911
                     13,                 1.1565,                0.86577,                 1.1657,                0.79807,                0.77695,                0.86056,                0.59463,                  1.002,                0.75847,                 1.0687,               0.008812,               0.008812,               0.008812
                     14,                 1.1434,                0.83701,                 1.1607,                0.79312,                0.84841,                 0.8733,                0.62743,                  0.963,                 0.7209,                 1.0376,               0.008713,               0.008713,               0.008713
                     15,                 1.1356,                0.82369,                 1.1636,                0.79076,                0.86462,                0.87983,                0.63205,                0.96934,                0.67966,                 1.0374,               0.008614,               0.008614,               0.008614
                     16,                 1.1271,                0.80533,                 1.1564,                0.80386,                0.79031,                0.85974,                0.61382,                0.96443,                0.78056,                 1.0554,               0.008515,               0.008515,               0.008515
                     17,                 1.1269,                  0.786,                 1.1603,                0.82294,                0.84206,                0.87903,                0.62943,                0.96308,                0.69135,                 1.0322,               0.008416,               0.008416,               0.008416
                     18,                 1.1296,                0.78453,                 1.1564,                0.78698,                 0.8437,                0.84168,                0.58832,                0.97146,                0.81455,                 1.0559,               0.008317,               0.008317,               0.008317
                     19,                 1.1042,                 0.7912,                 1.1534,                0.82068,                0.84898,                0.87727,                0.63315,                0.93118,                0.73426,                   1.03,               0.008218,               0.008218,               0.008218
                     20,                 1.0853,                0.75192,                 1.1352,                0.83138,                0.84813,                0.88372,                0.62494,                0.94462,                0.67098,                 1.0291,               0.008119,               0.008119,               0.008119
                     21,                 1.1067,                0.76105,                 1.1457,                0.87163,                0.78691,                0.87727,                0.63221,                0.94557,                0.81129,                 1.0342,                0.00802,                0.00802,                0.00802
                     22,                 1.1053,                0.75727,                 1.1417,                0.80303,                0.84274,                0.87411,                0.62499,                0.93632,                0.70355,                 1.0272,               0.007921,               0.007921,               0.007921
                     23,                 1.0885,                0.74868,                 1.1445,                0.82988,                0.85743,                0.88964,                0.64562,                0.94194,                0.63984,                 1.0301,               0.007822,               0.007822,               0.007822
                     24,                 1.0988,                0.75255,                 1.1334,                0.79865,                0.80724,                0.83719,                0.56832,                  1.039,                0.77421,                 1.0846,               0.007723,               0.007723,               0.007723
                     25,                 1.0718,                0.74074,                 1.1327,                0.80127,                 0.8547,                0.88532,                0.62503,                0.96659,                0.66344,                 1.0463,               0.007624,               0.007624,               0.007624
                     26,                 1.0679,                0.72897,                 1.1299,                0.84395,                0.83372,                0.89175,                0.64706,                0.93794,                0.66133,                 1.0384,               0.007525,               0.007525,               0.007525
                     27,                 1.0674,                0.74019,                 1.1317,                0.81266,                0.87439,                0.90474,                0.66195,                0.92495,                0.66507,                 1.0224,               0.007426,               0.007426,               0.007426
                     28,                 1.0706,                0.71105,                 1.1311,                0.85121,                0.84755,                0.90563,                0.65399,                0.93345,                0.61479,                 1.0207,               0.007327,               0.007327,               0.007327
                     29,                 1.0702,                0.70367,                 1.1277,                0.85497,                0.84409,                0.89903,                0.65534,                 0.9337,                0.62503,                 1.0255,               0.007228,               0.007228,               0.007228
                     30,                 1.0619,                0.71564,                 1.1184,                0.79265,                0.87213,                0.88757,                0.63355,                0.93726,                0.64712,                 1.0131,               0.007129,               0.007129,               0.007129
                     31,                 1.0456,                0.69557,                 1.1137,                0.81681,                0.85498,                0.90079,                0.66126,                0.92468,                0.62419,                  1.019,                0.00703,                0.00703,                0.00703
                     32,                 1.0408,                0.67803,                 1.1159,                0.84134,                 0.8272,                0.88344,                0.65097,                0.92831,                0.63492,                 1.0276,               0.006931,               0.006931,               0.006931
                     33,                 1.0701,                0.69288,                 1.1327,                0.83197,                 0.8372,                0.88805,                0.63231,                 0.9377,                0.64277,                 1.0334,               0.006832,               0.006832,               0.006832
                     34,                 1.0492,                0.68072,                  1.115,                0.80197,                0.84698,                0.89259,                0.65035,                0.91289,                0.64555,                 1.0193,               0.006733,               0.006733,               0.006733
                     35,                 1.0424,                 0.6787,                 1.1165,                0.81079,                0.83101,                 0.8763,                0.64053,                0.91965,                0.65715,                 1.0246,               0.006634,               0.006634,               0.006634
                     36,                 1.0349,                0.67099,                 1.1077,                0.84346,                0.84413,                0.90873,                 0.6614,                 0.9338,                0.60669,                 1.0308,               0.006535,               0.006535,               0.006535
                     37,                 1.0519,                0.66457,                 1.1105,                 0.8218,                0.83842,                 0.8905,                0.65426,                0.95322,                0.62572,                 1.0439,               0.006436,               0.006436,               0.006436
                     38,                 1.0186,                0.64665,                 1.1083,                0.83608,                0.83319,                0.87864,                0.64861,                0.90298,                0.63417,                 1.0137,               0.006337,               0.006337,               0.006337
                     39,                 1.0067,                0.63164,                  1.095,                0.81912,                0.84647,                0.88656,                0.65064,                0.95941,                0.62977,                 1.0501,               0.006238,               0.006238,               0.006238
                     40,                 1.0192,                0.65654,                 1.0944,                0.85483,                0.84689,                0.91462,                0.67155,                0.91242,                 0.5966,                 1.0119,               0.006139,               0.006139,               0.006139
                     41,                 1.0058,                0.64061,                 1.0968,                0.82372,                0.83554,                0.86667,                0.64501,                0.90943,                0.62596,                 1.0183,                0.00604,                0.00604,                0.00604
                     42,                 1.0117,                0.65186,                 1.0982,                0.84629,                0.86214,                0.90362,                0.66813,                0.91775,                0.59917,                 1.0187,               0.005941,               0.005941,               0.005941
                     43,                 1.0048,                0.64437,                 1.1071,                0.86353,                0.84285,                0.90179,                0.66085,                0.92688,                0.58556,                   1.02,               0.005842,               0.005842,               0.005842
                     44,                0.98983,                0.63547,                 1.0815,                0.83144,                0.85664,                0.90705,                0.66431,                0.92603,                0.60166,                 1.0219,               0.005743,               0.005743,               0.005743
                     45,                0.98985,                0.63322,                 1.0911,                0.83277,                 0.8487,                0.89953,                0.66625,                0.91744,                0.61809,                  1.022,               0.005644,               0.005644,               0.005644
                     46,                0.98183,                0.61512,                 1.0943,                0.84775,                0.85841,                0.91208,                0.67507,                 0.9013,                0.59655,                 1.0031,               0.005545,               0.005545,               0.005545
                     47,                0.98943,                0.61243,                 1.0882,                0.83945,                0.85063,                0.89743,                0.66765,                0.92155,                0.59856,                 1.0234,               0.005446,               0.005446,               0.005446
                     48,                0.98816,                0.61725,                 1.0938,                0.85137,                0.85596,                0.90706,                0.67055,                0.89875,                0.57412,                 1.0119,               0.005347,               0.005347,               0.005347
                     49,                0.98892,                0.61192,                 1.0838,                0.79666,                0.88347,                0.88732,                0.64625,                0.93245,                0.62474,                 1.0311,               0.005248,               0.005248,               0.005248
                     50,                0.97809,                0.60254,                 1.0736,                0.82641,                0.86098,                0.89569,                0.65795,                0.92631,                0.59836,                 1.0174,               0.005149,               0.005149,               0.005149
                     51,                0.98612,                0.60802,                  1.083,                 0.8394,                 0.8799,                0.90941,                0.67957,                0.89997,                0.58038,                 1.0012,                0.00505,                0.00505,                0.00505
                     52,                0.95712,                0.59829,                 1.0713,                0.84759,                0.85465,                0.90634,                0.67194,                0.90388,                 0.5731,                 1.0044,               0.004951,               0.004951,               0.004951
                     53,                0.97157,                 0.5889,                 1.0768,                0.84775,                0.83728,                0.89728,                0.66182,                0.91059,                0.59543,                 1.0041,               0.004852,               0.004852,               0.004852
                     54,                0.95866,                0.60446,                 1.0698,                0.84642,                0.84632,                0.90277,                0.66727,                0.92292,                0.58919,                 1.0177,               0.004753,               0.004753,               0.004753
                     55,                0.95832,                0.59576,                 1.0712,                  0.849,                0.85206,                 0.8971,                0.66578,                0.89973,                0.60856,                 1.0067,               0.004654,               0.004654,               0.004654
                     56,                0.94449,                0.57968,                  1.078,                0.83412,                0.82408,                0.88652,                0.65182,                0.92193,                0.62878,                 1.0154,               0.004555,               0.004555,               0.004555
                     57,                0.94918,                0.57946,                 1.0655,                0.81133,                0.88319,                0.90511,                 0.6715,                0.90061,                0.57664,                 1.0081,               0.004456,               0.004456,               0.004456
                     58,                0.95252,                0.58569,                 1.0641,                0.82002,                0.87515,                0.89896,                0.67536,                0.88865,                0.58242,                  1.004,               0.004357,               0.004357,               0.004357
                     59,                0.94744,                0.58282,                 1.0638,                0.85242,                0.85779,                0.90841,                0.67717,                0.91751,                0.59218,                 1.0231,               0.004258,               0.004258,               0.004258
